☘️广东频道,#genre#
潮州综合,http://livezhpd.czbtv.com:38880/live/ctvzhpd.m3u8?secret=czbtv20260101$自用源
潮州综合,http://115.190.252.60/gdtouch.php?id=1224$自用源
潮州综合,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=UPmGsF&tk=EuWQIWwVA7n1$自用源
潮州综合,http://183.236.43.98:4013/udp/239.253.43.70:5146$订阅源
潮州民生,http://livezhpd.czbtv.com:38880/live/ggpd.m3u8?secret=czbtv20260101$自用源
潮州民生,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=VGsfIL&tk=EuWQIWwVA7n1$自用源
潮州民生,http://183.236.43.98:4013/udp/239.253.43.75:5146$订阅源
汕头综合,http://gd.sohu.blog/gdst.php?id=st1$自用源
汕头综合,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=klqapJ&tk=EuWQIWwVA7n1$自用源
汕头综合,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=EWNtar&tk=EuWQIWwVA7n1$自用源
汕头综合,http://183.236.43.98:4013/udp/239.253.43.45:5146$订阅源
汕头经济,http://gd.sohu.blog/gdst.php?id=st2$自用源
汕头经济,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=a0Xfso&tk=EuWQIWwVA7n1$自用源
汕头经济,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=jjovNE&tk=EuWQIWwVA7n1$自用源
汕头经济,http://183.236.43.98:4013/udp/239.253.43.46:5146$订阅源
揭阳生活,http://123.207.224.130:123/guangdong/jieyang.php?id=jysh$自用源
揭阳生活,http://47.108.20.161:8866/guangdong/jieyang.php?id=jysh$自用源
揭阳生活,http://183.236.43.98:4013/udp/239.77.0.251:5146$订阅源
揭阳综合,http://123.207.224.130:123/guangdong/jieyang.php?id=jyzh$自用源
揭阳综合,http://47.108.20.161:8866/guangdong/jieyang.php?id=jyzh$自用源
揭阳综合,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=NNlB8d&tk=EuWQIWwVA7n1$自用源
揭阳综合,http://183.236.43.98:4013/udp/239.77.0.229:5146$订阅源
广东少儿,http://183.236.43.98:4013/udp/239.77.0.250:5146$订阅源
广东珠江,http://183.236.43.98:4013/udp/239.77.0.114:5146$订阅源
广东珠江,http://183.236.43.98:4013/udp/239.77.0.1:5146$订阅源
广东卫视,http://183.236.43.98:4013/udp/239.77.1.19:5146$订阅源
广东卫视,http://183.236.43.98:4013/udp/239.77.0.166:5146$订阅源
广东卫视,http://183.236.43.98:4013/udp/239.77.1.152:5146$订阅源
广东新闻,http://183.236.43.98:4013/udp/239.77.0.173:5146$订阅源
广东民生,http://183.236.43.98:4013/udp/239.77.0.225:5146$订阅源
广东体育,http://183.236.43.98:4013/udp/239.77.0.168:5146$订阅源
广东体育,http://183.236.43.98:4013/udp/239.77.0.112:5146$订阅源
大湾区卫视,http://183.236.43.98:4013/udp/239.77.0.215:5146$订阅源

🌊港·澳·台,#genre#
翡翠台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=kBXBw8&tk=EuWQIWwVA7n1$自用源
翡翠台,http://mytv.cdn.loc.cc/o12.php?id=fct$自用源
翡翠台,https://cdn6.163189.xyz/163189/fct4k$自用源
翡翠台,http://hls.168.us.kg/u/81/master.m3u8$自用源
明珠台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=0kKsxj&tk=EuWQIWwVA7n1$自用源
明珠台,http://mytv.cdn.loc.cc/o12.php?id=mzt$自用源
明珠台,http://iptv.4666888.xyz/iptv2A.php?id=66$本地源
TVB无线新闻,https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn$自用源
TVB无线新闻,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=bfIYXv&tk=EuWQIWwVA7n1$自用源
TVB无线新闻,https://cdn6.101.qzz.io/163189/wxxw$自用源
TVB无线新闻,http://hls.168.us.kg/u/83/master.m3u8$自用源
TVB无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn$自用源
TVB星河,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=VJWJ87&tk=EuWQIWwVA7n1$自用源
TVB星河,https://cdn6.101.qzz.io/163189/tvbxh$自用源
ViuTV,http://php.jdshipin.com:8880/smt.php?id=viu1_twn$自用源
